epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,658.661,0.6914,0.40482,0.88972,0.96429,0.98438,0.98585,0.79598,0.86947,0.41189,0.92771,0.000841835,0.000841835,0.000841835
102,665.03,0.63729,0.3885,0.87186,0.95876,0.98101,0.97982,0.78499,0.89156,0.39572,0.94074,0.000833583,0.000833583,0.000833583
103,671.713,0.66284,0.38859,0.87365,0.94806,0.97656,0.97906,0.78364,0.88369,0.39883,0.94076,0.000825332,0.000825332,0.000825332
104,677.747,0.62501,0.37414,0.87202,0.94542,0.98228,0.97944,0.79989,0.88624,0.39618,0.95134,0.00081708,0.00081708,0.00081708
105,684.107,0.63203,0.38478,0.8618,0.9709,0.98438,0.98896,0.80403,0.8833,0.40442,0.95077,0.000808828,0.000808828,0.000808828
106,689.863,0.65812,0.38827,0.87508,0.96305,0.96978,0.97935,0.78846,0.88718,0.39796,0.95948,0.000800577,0.000800577,0.000800577
107,696.586,0.65318,0.39141,0.86649,0.95969,0.97417,0.97933,0.80359,0.85606,0.39346,0.93965,0.000792325,0.000792325,0.000792325
108,702.281,0.66308,0.38951,0.86736,0.95195,0.96094,0.97679,0.79801,0.89058,0.40781,0.94639,0.000784073,0.000784073,0.000784073
109,709.382,0.65544,0.39481,0.88056,0.94977,0.93588,0.96951,0.79278,0.90957,0.44028,0.95408,0.000775822,0.000775822,0.000775822
110,715.584,0.63871,0.37636,0.87159,0.96647,0.955,0.9795,0.80623,0.87139,0.38291,0.93942,0.00076757,0.00076757,0.00076757
111,721.719,0.59661,0.36725,0.85904,0.97543,0.92969,0.97422,0.79979,0.88532,0.39344,0.93979,0.000759318,0.000759318,0.000759318
112,728.142,0.61484,0.37135,0.85528,0.93931,0.96924,0.9787,0.81048,0.87014,0.38704,0.93481,0.000751067,0.000751067,0.000751067
113,734.555,0.61258,0.36027,0.85355,0.96095,0.99219,0.98779,0.79752,0.86957,0.38919,0.94301,0.000742815,0.000742815,0.000742815
114,740.807,0.63208,0.37276,0.8616,0.95829,0.99219,0.98792,0.79841,0.89109,0.38999,0.95586,0.000734564,0.000734564,0.000734564
115,746.821,0.6385,0.37843,0.86659,0.95069,0.97656,0.97927,0.78719,0.92638,0.3994,0.96527,0.000726312,0.000726312,0.000726312
116,753.605,0.61291,0.36432,0.86296,0.95444,0.9648,0.97824,0.79348,0.88638,0.38964,0.95475,0.00071806,0.00071806,0.00071806
117,760.152,0.62209,0.36818,0.85353,0.93862,0.95312,0.96664,0.79288,0.87393,0.39786,0.9479,0.000709809,0.000709809,0.000709809
118,766.69,0.60243,0.36336,0.86326,0.96232,0.97656,0.97831,0.77938,0.87625,0.39228,0.94704,0.000701557,0.000701557,0.000701557
119,773.523,0.62225,0.37417,0.86211,0.95097,0.96875,0.97902,0.80456,0.84963,0.38345,0.9325,0.000693305,0.000693305,0.000693305
120,779.63,0.60951,0.36064,0.85903,0.95382,0.98265,0.98049,0.80882,0.87797,0.37981,0.95034,0.000685054,0.000685054,0.000685054
121,786.772,0.59792,0.35855,0.85223,0.95788,0.98438,0.98576,0.80999,0.84466,0.37955,0.93773,0.000676802,0.000676802,0.000676802
122,792.617,0.58616,0.35479,0.8595,0.96834,0.96875,0.97381,0.79,0.87491,0.40691,0.94131,0.00066855,0.00066855,0.00066855
123,799.119,0.61058,0.36338,0.86111,0.9593,0.98069,0.97911,0.79556,0.88125,0.39417,0.94811,0.000660299,0.000660299,0.000660299
124,804.914,0.59277,0.3618,0.85176,0.95058,0.9762,0.97683,0.8065,0.85226,0.38792,0.93512,0.000652047,0.000652047,0.000652047
125,811.753,0.57542,0.34692,0.85607,0.95594,0.98438,0.98103,0.80045,0.87,0.40292,0.94102,0.000643795,0.000643795,0.000643795
126,817.873,0.5929,0.35696,0.85908,0.93745,0.96875,0.97804,0.7941,0.87244,0.40012,0.93747,0.000635544,0.000635544,0.000635544
127,824.366,0.5819,0.3518,0.85794,0.94582,0.97656,0.98082,0.78218,0.88199,0.40009,0.94095,0.000627292,0.000627292,0.000627292
128,830.745,0.60666,0.36183,0.86269,0.94023,0.96749,0.96716,0.79348,0.87346,0.39605,0.94407,0.00061904,0.00061904,0.00061904
129,837.475,0.62634,0.36793,0.86678,0.93976,0.96734,0.96328,0.80457,0.84818,0.39746,0.93151,0.000610789,0.000610789,0.000610789
130,843.499,0.60718,0.36143,0.86541,0.95666,0.96875,0.97712,0.80286,0.88135,0.39511,0.94135,0.000602537,0.000602537,0.000602537
131,849.643,0.58786,0.34965,0.85326,0.97757,0.97656,0.98748,0.79883,0.88241,0.38846,0.94362,0.000594286,0.000594286,0.000594286
132,855.825,0.59398,0.35087,0.86221,0.95898,0.96094,0.97519,0.79803,0.91618,0.40613,0.9495,0.000586034,0.000586034,0.000586034
133,862.083,0.58893,0.34885,0.8488,0.95063,0.97656,0.97476,0.80224,0.9067,0.40066,0.95792,0.000577782,0.000577782,0.000577782
134,868.649,0.59731,0.35782,0.86023,0.94391,0.96094,0.96481,0.79336,0.913,0.39461,0.96085,0.000569531,0.000569531,0.000569531
135,874.666,0.57738,0.3443,0.85677,0.94146,0.96094,0.97492,0.80382,0.9114,0.39503,0.95934,0.000561279,0.000561279,0.000561279
136,881.002,0.5439,0.33725,0.85059,0.99184,0.92969,0.97258,0.79727,0.90981,0.40396,0.96442,0.000553027,0.000553027,0.000553027
137,886.969,0.58052,0.34498,0.8513,0.94133,0.96094,0.97763,0.80107,0.89889,0.39566,0.95793,0.000544776,0.000544776,0.000544776
138,893.509,0.57841,0.34626,0.85156,0.93307,0.95312,0.96492,0.78391,0.93172,0.40797,0.97266,0.000536524,0.000536524,0.000536524
139,900.019,0.53967,0.32965,0.84662,0.93352,0.96061,0.96581,0.79949,0.89183,0.39048,0.95141,0.000528272,0.000528272,0.000528272
140,906.814,0.54695,0.33187,0.8457,0.94891,0.97482,0.97596,0.79885,0.88494,0.40048,0.95379,0.000520021,0.000520021,0.000520021
141,913.306,0.5579,0.34116,0.84441,0.94422,0.96094,0.96734,0.79316,0.87121,0.40308,0.95121,0.000511769,0.000511769,0.000511769
142,919.59,0.54213,0.33423,0.84212,0.94999,0.96875,0.9776,0.79483,0.89931,0.39533,0.95662,0.000503517,0.000503517,0.000503517
143,926.25,0.53737,0.32576,0.8466,0.95743,0.97656,0.98418,0.79231,0.92181,0.39458,0.96556,0.000495266,0.000495266,0.000495266
144,932.616,0.55092,0.33389,0.85246,0.95119,0.96875,0.97465,0.79365,0.90015,0.40094,0.95751,0.000487014,0.000487014,0.000487014
145,938.99,0.55003,0.33181,0.85189,0.9442,0.96094,0.97751,0.79473,0.93115,0.40108,0.97092,0.000478762,0.000478762,0.000478762
146,945.292,0.56531,0.33343,0.84838,0.95105,0.96803,0.97898,0.79857,0.88493,0.38911,0.94202,0.000470511,0.000470511,0.000470511
147,952.363,0.56635,0.34059,0.85969,0.95071,0.96851,0.979,0.79081,0.9162,0.39321,0.95568,0.000462259,0.000462259,0.000462259
148,958.637,0.56537,0.34457,0.85019,0.96466,0.99219,0.99198,0.79261,0.92106,0.38573,0.9528,0.000454007,0.000454007,0.000454007
149,964.998,0.55013,0.32769,0.83973,0.96395,0.99219,0.9891,0.79385,0.91135,0.38857,0.95007,0.000445756,0.000445756,0.000445756
150,971.559,0.5092,0.31871,0.8384,0.95707,0.98438,0.98015,0.79223,0.90883,0.38688,0.95059,0.000437504,0.000437504,0.000437504
151,977.972,0.5371,0.32881,0.83594,0.95587,0.98243,0.98022,0.79962,0.88529,0.38433,0.94634,0.000429253,0.000429253,0.000429253
152,983.615,0.51676,0.31636,0.83812,0.93393,0.9595,0.97006,0.78991,0.90863,0.39133,0.95308,0.000421001,0.000421001,0.000421001
153,990.51,0.52454,0.31957,0.83792,0.93977,0.96706,0.97656,0.80073,0.91079,0.38143,0.9502,0.000412749,0.000412749,0.000412749
154,996.509,0.52276,0.32232,0.83971,0.95644,0.97656,0.98788,0.80161,0.90002,0.37269,0.94672,0.000404498,0.000404498,0.000404498
155,1003.37,0.51065,0.32426,0.83871,0.94547,0.9748,0.97581,0.802,0.89954,0.37211,0.95133,0.000396246,0.000396246,0.000396246
156,1009.03,0.51267,0.31758,0.845,0.95593,0.98419,0.98894,0.80272,0.8988,0.37118,0.94801,0.000387994,0.000387994,0.000387994
157,1015.45,0.48573,0.30775,0.83073,0.95581,0.9831,0.98891,0.8018,0.91623,0.37775,0.96059,0.000379743,0.000379743,0.000379743
158,1022.09,0.50265,0.31449,0.83876,0.95949,0.97772,0.98801,0.81209,0.90062,0.38199,0.9491,0.000371491,0.000371491,0.000371491
159,1028.72,0.51414,0.30998,0.83193,0.94353,0.96094,0.97472,0.80604,0.91224,0.37793,0.95245,0.000363239,0.000363239,0.000363239
160,1035.03,0.5063,0.31836,0.83276,0.94393,0.96183,0.97553,0.80386,0.89412,0.37983,0.94528,0.000354988,0.000354988,0.000354988
161,1041.41,0.51677,0.31913,0.83351,0.94357,0.96222,0.97658,0.80072,0.90207,0.38397,0.94611,0.000346736,0.000346736,0.000346736
162,1047.62,0.49123,0.30066,0.83631,0.95884,0.97803,0.98591,0.79787,0.88892,0.37445,0.95088,0.000338484,0.000338484,0.000338484
163,1054.27,0.50548,0.31056,0.83279,0.95757,0.9826,0.97876,0.79942,0.87217,0.37955,0.93855,0.000330233,0.000330233,0.000330233
164,1060.66,0.51689,0.31214,0.84498,0.9423,0.96684,0.97429,0.80866,0.89385,0.39174,0.94277,0.000321981,0.000321981,0.000321981
165,1067.04,0.53576,0.32345,0.84848,0.95175,0.96875,0.97829,0.80062,0.90823,0.39267,0.95571,0.000313729,0.000313729,0.000313729
166,1073.63,0.51034,0.32253,0.84267,0.94928,0.96875,0.97629,0.79571,0.91026,0.39887,0.95978,0.000305478,0.000305478,0.000305478
167,1079.5,0.494,0.30778,0.83473,0.9439,0.96094,0.97389,0.80451,0.89283,0.39006,0.95422,0.000297226,0.000297226,0.000297226
168,1086.05,0.47447,0.30083,0.82173,0.95209,0.96875,0.98136,0.81184,0.87952,0.37458,0.94401,0.000288974,0.000288974,0.000288974
169,1092.83,0.49398,0.29882,0.83322,0.95074,0.96875,0.97994,0.8078,0.88106,0.3729,0.9411,0.000280723,0.000280723,0.000280723
170,1099.5,0.48928,0.3019,0.83013,0.96008,0.97656,0.98636,0.80908,0.8947,0.37985,0.94558,0.000272471,0.000272471,0.000272471
171,1105.94,0.48998,0.30675,0.83265,0.95893,0.97656,0.98271,0.80642,0.90035,0.3757,0.95112,0.00026422,0.00026422,0.00026422
172,1112.63,0.48319,0.30163,0.82942,0.9572,0.97656,0.98612,0.80916,0.88674,0.37374,0.94878,0.000255968,0.000255968,0.000255968
173,1118.58,0.49074,0.30771,0.83045,0.98918,0.95312,0.98614,0.81337,0.87671,0.37104,0.94712,0.000247716,0.000247716,0.000247716
174,1125.59,0.48533,0.30229,0.82221,0.96559,0.99088,0.98981,0.81148,0.87619,0.37066,0.9484,0.000239465,0.000239465,0.000239465
175,1132.01,0.48471,0.30114,0.83059,0.94836,0.97656,0.97873,0.80728,0.88038,0.37295,0.94477,0.000231213,0.000231213,0.000231213
176,1138.44,0.47734,0.30042,0.82912,0.94347,0.96869,0.97769,0.81221,0.88747,0.39192,0.94369,0.000222961,0.000222961,0.000222961
177,1144.73,0.47793,0.29997,0.83019,0.94317,0.96583,0.97407,0.81915,0.88245,0.39452,0.94382,0.00021471,0.00021471,0.00021471
178,1151.7,0.48566,0.30227,0.83587,0.95059,0.97459,0.98594,0.81204,0.89664,0.39154,0.94777,0.000206458,0.000206458,0.000206458
179,1158.11,0.46721,0.29062,0.83161,0.95733,0.98268,0.98909,0.79712,0.90588,0.39407,0.94968,0.000198206,0.000198206,0.000198206
180,1164.4,0.47907,0.29621,0.8291,0.95689,0.98273,0.98889,0.80068,0.89532,0.38237,0.94765,0.000189955,0.000189955,0.000189955
181,1171.13,0.45393,0.28761,0.82152,0.9573,0.98281,0.98917,0.80779,0.88545,0.37929,0.94563,0.000181703,0.000181703,0.000181703
182,1177.4,0.47316,0.29357,0.83084,0.94885,0.97491,0.98144,0.81814,0.88689,0.37767,0.94898,0.000173451,0.000173451,0.000173451
183,1183.99,0.47465,0.30195,0.83415,0.95971,0.97818,0.98797,0.81784,0.89003,0.37758,0.95381,0.0001652,0.0001652,0.0001652
184,1190.24,0.49051,0.30554,0.83413,0.95563,0.98267,0.98821,0.80603,0.8984,0.37572,0.95598,0.000156948,0.000156948,0.000156948
185,1196.61,0.48145,0.29515,0.83261,0.95943,0.97787,0.98852,0.80474,0.9019,0.38155,0.95659,0.000148696,0.000148696,0.000148696
186,1203.29,0.44381,0.28289,0.82074,0.95288,0.96622,0.98033,0.80495,0.88225,0.3708,0.94889,0.000140445,0.000140445,0.000140445
187,1210.2,0.46074,0.29895,0.82985,0.9514,0.96875,0.98002,0.80677,0.87926,0.37275,0.94559,0.000132193,0.000132193,0.000132193
188,1216.49,0.47617,0.29238,0.82933,0.96111,0.97194,0.98577,0.80623,0.87644,0.38027,0.94347,0.000123941,0.000123941,0.000123941
189,1222.81,0.46694,0.28821,0.83158,0.96149,0.97219,0.98058,0.80579,0.87435,0.37473,0.9444,0.00011569,0.00011569,0.00011569
190,1228.8,0.46698,0.28819,0.82915,0.96677,0.98438,0.98933,0.80537,0.87745,0.37618,0.94603,0.000107438,0.000107438,0.000107438
191,1241.64,0.47837,0.3083,0.81677,0.95754,0.97656,0.98617,0.80878,0.87422,0.38196,0.94516,9.91865e-05,9.91865e-05,9.91865e-05
192,1248.06,0.46108,0.30298,0.81416,0.95485,0.97656,0.98597,0.80612,0.86668,0.36809,0.94328,9.09349e-05,9.09349e-05,9.09349e-05
193,1254.58,0.47679,0.30737,0.80555,0.95289,0.97656,0.98576,0.80082,0.86869,0.37185,0.94413,8.26832e-05,8.26832e-05,8.26832e-05
194,1260.46,0.4794,0.29831,0.8136,0.95473,0.9375,0.97103,0.80242,0.87286,0.36265,0.94455,7.44316e-05,7.44316e-05,7.44316e-05
195,1267.09,0.465,0.29879,0.80848,0.93148,0.96836,0.96973,0.79815,0.87187,0.36446,0.94148,6.61799e-05,6.61799e-05,6.61799e-05
196,1272.53,0.44551,0.29306,0.80451,0.92512,0.96094,0.96185,0.79559,0.86668,0.3598,0.9396,5.79283e-05,5.79283e-05,5.79283e-05
197,1279.55,0.46352,0.29569,0.81174,0.93358,0.96875,0.96842,0.7964,0.86291,0.36081,0.93896,4.96766e-05,4.96766e-05,4.96766e-05
198,1285.17,0.44895,0.29396,0.80926,0.93432,0.96875,0.9702,0.79607,0.86915,0.3607,0.9402,4.1425e-05,4.1425e-05,4.1425e-05
199,1291.93,0.4347,0.28797,0.80567,0.94182,0.976,0.97698,0.79977,0.87126,0.36239,0.94212,3.31733e-05,3.31733e-05,3.31733e-05
200,1297.52,0.44055,0.28775,0.81031,0.93447,0.9682,0.97041,0.79732,0.87445,0.36682,0.94153,2.49217e-05,2.49217e-05,2.49217e-05
